
   Id ProcessName                              MainWindowTitle
   -- -----------                              ---------------                  
 4876 AggregatorHost                                                            
 4448 AppleMobileDeviceService                                                  
 7480 ApplicationFrameHost                     Settings                         
19628 AppVShNotify                                                              
14736 azmcp                                                                     
20644 CameraHelperShell                                                         
 4484 CamoService                                                               
18356 CamoStudio                                                                
 1880 Code                                     config.yaml - Untitled (Workspac…
 4628 Code                                                                      
 8348 Code                                                                      
10212 Code                                                                      
10840 Code                                                                      
11840 Code                                                                      
12596 Code                                                                      
15636 Code                                                                      
17336 Code                                                                      
17764 Code                                                                      
19128 Code                                                                      
19200 Code                                                                      
20600 Code                                                                      
22984 Code                                                                      
23380 Code                                                                      
24172 Code                                                                      
24176 Code                                                                      
25508 Code                                                                      
25864 Code                                                                      
26232 Code                                                                      
26376 Code                                                                      
27028 Code                                                                      
29604 Code                                                                      
29876 Code                                                                      
 3300 CompPkgSrv                                                                
  876 conhost                                                                   
 1288 conhost                                                                   
 4024 conhost                                                                   
 8160 conhost                                                                   
 8204 conhost                                                                   
 8984 conhost                                                                   
 9136 conhost                                                                   
 9152 conhost                                                                   
 9180 conhost                                                                   
15552 conhost                                                                   
17204 conhost                                                                   
18916 conhost                                                                   
28816 conhost                                                                   
  516 csrss                                                                     
  732 csrss                                                                     
 8940 ctfmon                                                                    
 3916 dasHost                                                                   
 9204 Dell.CoreServices.Client                                                  
 4468 Dell.TechHub                                                              
 8128 Dell.TechHub.Analytics.SubAgent                                           
 9168 Dell.TechHub.DataManager.SubAgent                                         
 9144 Dell.TechHub.Diagnostics.SubAgent                                         
 9128 Dell.TechHub.Instrumentation.SubAgent                                     
15004 Dell.TechHub.Instrumentation.UserProcess                                  
 9116 Dell.Update.SubAgent                                                      
 5576 DismHost                                                                  
 5644 dllhost                                                                   
 7788 dllhost                                                                   
18892 dllhost                                                                   
 1464 dwm                                                                       
 9304 explorer                                                                  
  480 fontdrvhost                                                               
  948 fontdrvhost                                                               
    0 Idle                                                                      
 4544 inetinfo                                                                  
22736 Inference.Service.Agent                                                   
 4032 Intel_PIE_Service                                                         
 7608 language_server_windows_x64                                               
15236 language_server_windows_x64                                               
10708 LM Studio                                                                 
17020 LM Studio                                                                 
19324 LM Studio                                                                 
30432 LM Studio                                                                 
30880 LM Studio                                                                 
10368 logioptionsplus_agent                                                     
11324 logioptionsplus_appbroker                                                 
 4804 logioptionsplus_updater                                                   
  796 lsass                                                                     
20612 LWS                                                                       
 2644 Memory Compression                                                        
14888 Microsoft.CmdPal.UI                                                       
30528 Microsoft.CodeAnalysis.LanguageServer                                     
21788 MicrosoftEdgeUpdate                                                       
20444 MicrosoftSecurityApp                                                      
24284 MoUsoCoreWorker                                                           
 4708 MpDefenderCoreService                                                     
 4764 mqsvc                                                                     
12496 msedge                                                                    
13388 msedge                                                                    
16652 msedge                                                                    
19416 msedge                                                                    
22020 msedge                                                                    
22940 msedge                                                                    
24344 msedge                                                                    
24848 msedge                                                                    
27640 msedge                                                                    
31128 msedge                                                                    
23400 MsMpEng                                                                   
 4848 MuseAuthService                                                           
18224 MusNotifyIcon                                                             
29108 NisSrv                                                                    
 2144 NVDisplay.Container                                                       
 3068 NVDisplay.Container                                                       
20256 OfficeClickToRun                                                          
13336 ollama                                                                    
  616 ollama app                                                                
18020 OneDrive                                                                  
19448 OneDrive.Sync.Service                                                     
30740 ONENOTEM                                                                  
 1164 OpenConsole                                                               
 1708 OpenConsole                                                               
 2896 OpenConsole                                                               
 3160 OpenConsole                                                               
 4732 OpenConsole                                                               
 5572 OpenConsole                                                               
 8904 OpenConsole                                                               
12688 OpenConsole                                                               
16300 OpenConsole                                                               
16696 OpenConsole                                                               
17452 OpenConsole                                                               
18780 OpenConsole                                                               
19096 OpenConsole                                                               
